respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.0879131863452794,0.2613797535925824
26708,0.0434639140723138,0.036485485171248694
26709,0.41051337005173055,0.660003158621415
26710,0.4378161881081288,0.8604311477487815
26711,0.24105242855485606,0.5110184546114306
26712,0.4364969393262576,0.915668111505942
26713,0.3382043528255783,0.4878232245036286
26714,0.13819540680445822,0.3038294164371442
26715,0.029781735718181775,0.15149676573060739
26716,0.20229383669889156,0.8628849951846065
26717,0.019804548170067895,0.3428848897761356
26718,0.19867177158637503,0.374473695048707
26719,0.10376716228412328,0.9198047207511442
26720,0.07227712460832782,0.14763001048184363
26721,0.4609529103037199,0.42764870345256256
26722,0.04159524036610888,0.07394103320366308
26723,0.650052364783573,0.8348362894831582
26724,0.11610608650012622,0.6048634512877931
26725,0.04450963184729598,0.0899779109156649
26726,0.017374756853021027,0.04216738925753877
26727,0.2962555091921702,0.7652692603090947
26728,0.21191605449710982,0.5239497181328762
26729,0.06581975738338126,0.25659760787420166
26730,0.05149592478756216,0.2440339180358391
26731,0.018296497734658322,0.29710918237610423
26732,0.11439299915270602,0.10382173166120998
26733,0.9104976489343953,0.9601492678568404
26734,0.8505206868294813,0.3766669179990319
26735,0.14463465887045548,0.44767743859692466
26736,0.06418433285636811,0.14293692705867247
26737,0.0762921462135611,0.13800777921064072
26738,0.5957142135964637,0.8520134908453106
26739,0.09950111331149282,0.2015709628428533
26740,0.15832871875125565,0.1495009434552397
26741,0.18030566858826533,0.9134145892719447
26742,0.14070689005794573,0.5055325050949894
26743,0.039291787329631796,0.44609924837577764
26744,0.06412376973834098,0.5807171224744941
26745,0.10023242001003523,0.9286174211728744
26746,0.09550552311414882,0.2920815923575103
26747,0.0925513580204182,0.3306335364621634
26748,0.1134452613282464,0.08721637176864787
26749,0.07271384699886084,0.6933359490114924
26750,0.6355804240115418,0.8931164560502302
26751,0.2954904087607041,0.6872391937050448
26752,0.026104398058067278,0.028939491918948686
26753,0.19309321501444063,0.6154927757475526
26754,0.08713016371848825,0.4988941383864974
26755,0.10742227538449385,0.33817660608994726
26756,0.017089084730289267,0.03790046072539243
26757,0.4483069474874491,0.4821021936216671
26758,0.627163487414877,0.8824367869395779
26759,0.03346728253894528,0.18415229697143212
26760,0.006916435881622659,0.014730968171673254
26761,0.12983903893315413,0.5109141541664679
26762,0.148949256809086,0.8216876912766554
26763,0.8908719421624485,0.9823958872959879
26764,0.9190560391830149,0.9608444383919662
26765,0.029720798362332764,0.6788857967257323
26766,0.11897081127849962,0.12499704592287803
26767,0.7366078239716684,0.6715712998525943
26768,0.011607418939787062,0.3613509194968249
26769,0.13222206799084377,0.14854206527081276
26770,0.12295210783657128,0.6641748333081374
26771,0.06726760174748048,0.19933389925646922
26772,0.08718131134778917,0.38005907409386397
26773,0.015234055633419593,0.48443616576976173
26774,0.033359651568252414,0.5654881645764097
26775,0.11121747428425778,0.5288200858032696
26776,0.3191171161404424,0.2694782076211018
26777,0.13248309780423256,0.9223860260166438
26778,0.12317616683973039,0.1292924397877559
26779,0.08997666898380859,0.4154854971340387
26780,0.15309409919998743,0.946746250249567
26781,0.0414820218562101,0.39871898174153
